"This is the raw data from the institution: University of Alberta please edit as needed"
id,host,university_title,country,province_state,type,note,created,updated
,calendar.ualberta.ca,"University of Alberta",Canada,Alberta,University,,,
id,university_id,course_title,course_subtitle,course_lettercode,course_number,course_code,course_subject,credit,term,year,campus,description,note,created,updated
,,"World Food and Agriculture",,AREC,375,,,3,"second term",2016-2017,,"Economic issues in international agriculture including the world food problem, agricultural development; agricultural and food trade and policy and selected agricultural biotechnology issues. Selected international applications and issues are stressed. Prerequisite: One of the following: ECON 101 or consent of Department. Credit will only be given for one of INT D 303, AREC 375, AREC 475 and AG EC 475.","(fi 6) ",,
,,"Food Market Analysis",,AREC,384,,,3,"first term",2016-2017,,"Applications of price and market theories to marketing problems and issues for food and agricultural products. Topics include: market structures and marketing functions; price analysis; futures markets; economics of food safety and quality; and international food marketing. Prerequisite: One of the following: AREC 200, AG EC 200, ECON 281, INT D 365, AREC 365 or equivalent. Credit will only be given for one of AREC 384 and AG EC 384.","(fi 6) ",,
,,"Special Topics",,AREC,400,,,3,"either term",2016-2017,,"Individual study of a selected topic or problem supervised by a Faculty member, requiring preparation of written reports. Prerequisite: consent of the Department Chair.","(fi 6) ",,
,,"Advanced Methods and Applications in Applied Economics",,AREC,410,,,3,"second term",2016-2017,,"Empirical applications of methods used in resource, environmental, agri-food, and forest economics. Involves one or more case study projects that focus on the empirical examination of economic issues in renewable resource management. Credit will be given for only one of AREC 410 and ENCS 410. Prerequisites: AREC 313 by consent of Instructor. Open to fourth year students in Agricultural/Food Business Management, Agriculture (Agricultural and Resource Economics major), Environmental and Conservation Sciences (Environmental Economics and Policy major) and Forest Business Management programs, or consent of Instructor. Requires payment of additional student instructional support fees. Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar.","(fi 6) ",,
,,"Advanced Management Methods and Applications for Agri-Food, Environmental and Forestry Businesses",,AREC,423,,,3,"second term",2016-2017,,"Empirical applications of management and research methods used by business managers. Emphasis is given to integrating economic and business management concepts with applications to problems and issues in agriculture, food, the environment and forestry. Prerequisites: AREC 313 or consent of Instructor. Open to fourth year students in Agricultural/Food Business Management, Agriculture (Agricultural and Resource Economics major), Environmental and Conservation Sciences (Environmental Economics and Policy major) and Forest Business Management, Nutrition and Food Science (Food marketing minor and Food Policy minor) programs, or consent of Instructor. Requires payment of additional student instructional support fees. Refer to the Fees Payment Guide in the University Regulations and Information for Students section of the Calendar.","(fi 6) ",,
,,"Economic Impact Assessment",,AREC,430,,,3,"second term",2016-2017,,"Examination of the theory and application of economic assessment methods with a focus on the evaluation of environmental, agricultural and natural resource projects, regulatory policy, and planning. Includes case studies of recent project and policy proposals to illustrate the methods used to evaluate economic benefits and costs of such proposals. Applications to estimating private economic benefits. Prerequisite: One of the following: AREC 200, AREC 365, ECON 281, or equivalent, or consent of Instructor. Credit will only be given for one of AREC 430, 450, 530 and 550.","(fi 6) ",,
,,"Financial Management in Resource Industries",,AREC,433,,,3,"first term",2016-2017,,"Recent theoretical and empirical developments in finance are applied to natural resource industries including agribusiness, farming, forestry and food. Emphasis on capital budgeting, financial risk, and associated topics for long run investment planning in smaller business enterprises. Prerequisite: One of the following: AREC 200, AG EC 200, ECON 281, INT D 365, AREC 365, FIN 301 or equivalent. Credit will only be given for one of AREC 433 and AG EC 433.","(fi 6) ",,
,,"Advanced Natural Resource Economics",,AREC,465,,,3,"second term",2016-2017,,"Applied economic modeling of resource utilization and environmental issues with a focus in forestry and agriculture. Topics may include current Canadian and international issues in the area of environmental valuation, energy, climate change, biodiversity and conservation as related to Forestry and Agriculture. Prerequisite: AREC 365 or consent of instructor; AREC 313 and ECON 281 recommended. Credit will only be given for one of AREC 465 and INT D 665.","(fi 6) ",,
,,"Society and Well-Being",,AREC,471,,,3,"second term",2016-2017,,"Economic, political, historical, and legal perspectives on how and why governments promote well-being in areas such as food safety, nutritional policy, consumer protection, recreation, and the workplace. Topics include the historical development of wellness-related policies, how these decisions are made in society, and economic and moral justifications for such interventions. Prerequisites: One of the following: AREC 200, ECON 281, AREC 365, ECON 365, or consent of the instructor.","(fi 6) ",,
,,"Food and Agricultural Policies",,AREC,473,,,3,"either term",2016-2017,,"Economics of public policy for agriculture and food industries. Public choice principles and institutions. Farm and food policy in Canada and selected countries. Case studies on price and output policy; agricultural trade; food safety and quality; resource use and environmental sustainability; and/or rural change/restructuring. Prerequisite: One of the following: AREC 200, ECON 281, AREC 365, ECON 365, or equivalent. Credit will only be given for one of AREC 473 and AG EC 473.","(fi 6) ",,
,,"Cooperatives and Alternative Business Institutions",,AREC,482,,,3,"second term",2016-2017,,"The impact of agri-food and resource market structures on market conduct and performance; the impact of market structure on selection of cooperative versus investor owned firms including differences in firm objectives, performance and management incentives; topics may also include effects of firm type on community development and policy formation. Prerequisite: One of the following: AREC 200, AG EC 200, ECON 281, INT D 365, AREC 365 or equivalent. Credit will only be given for one of AREC 482 and AG EC 482.","(fi 6) ",,
,,"Strategic Management in Food and Resource Businesses",,AREC,484,,,3,"either term",2016-2017,,"Analysis of strategic management concepts and applications to agri-food and resource industries. The development of business and corporate strategies including competitive positioning; sustaining competitive advantage; vertical coordination and strategic alliances in value chains; corporate diversification and global business strategy. Prerequisite: One of the following: AREC 200, AREC 323, AG EC 200, AG EC 323, ECON 281, INT D 365, AREC 365 or equivalent. Credit will only be given for one of AREC 484 and AG EC 484.","(fi 6) ",,
,,"Trade and Globalization in Food and Resources",,AREC,485,,,3,"first term",2016-2017,,"Principles and policies affecting international trade in food, forestry and natural resources. Current issues in trade, including fair trade concerns, trade in capital and services, effects of food safety and quality standards, and environmental issues surrounding trade agreements and institutions. Prerequisite: One of the following: AREC 200, AREC 365, ECON 365, R SOC 355 or equivalent. Credit will only be given for one of AREC 485 and AG EC 485.","(fi 6) ",,
,,"Managing Market Risk in Resource Industries",,AREC,487,,,3,"either term",2016-2017,,"Study of the mechanics and economic functions of commodity futures and options derivative markets. Topics include the theory and practice of hedging, price formation and issues unique to commodities. Emphasis on concepts and analysis to evaluate derivative markets; use of derivatives to manage market risk in agribusiness, forestry and other resource businesses. Prerequisite: One of the following: AREC 200, AREC 365, ECON 281, FIN 301, or equivalent, or consent of instructor.","(fi 6) ",,
,,"Introduction to Agricultural and Resource Game Theory",,AREC,488,,,3,"either term",2016-2017,,"Game theory analyzes situations in which payoffs to agents depend on the behavior of other agents. Basics of game theoretic analysis are introduced. Applications to the agri-food and resource industries are discussed. Prerequisites AREC 200, AREC 365, or ECON 281.","(fi 6) ",,
,,"Special Topics",,AREC,500,,,3,"either term",2016-2017,,"Individual study or special topics course in agricultural and resource economics under the supervision of a Faculty member. Prerequisite: consent of Department Chair.","(fi 6) ",,
,,"Advanced Price Analysis",,AREC,502,,,3,"either term",2016-2017,,"Principles of consumer demand and producer supply analysis including theoretical and empirical approaches to the analysis of consumer and producer choice. Applications include food demand analysis (single equations and systems approaches), price expectations and producer supply decisions, market model simulation and policy evaluation, and economic welfare measurement. Corequisite: ECON 481.","(fi 6) ",,
,,"Econometric Applications",,AREC,513,,,3,"either term",2016-2017,,"Econometric theory, multiple linear regression analysis and interpretation, simultaneous equation estimation, qualitative choice models, time series analysis, applications of econometric techniques to resource and agricultural economic problems. Prerequisite: Intermediate course in statistics or econometrics. Credit will only be given for one of AREC 513 and AG EC 513.","(fi 6) ",,
,,"Quantitative Techniques",,AREC,514,,,3,"either term",2016-2017,,"Selected applications of econometrics, operations research, and mathematical programming to economic problems in resource, agriculture, forestry, and food sectors. Prerequisite: consent of Instructor. Credit will only be given for one of AREC 514 and AG EC 514.","(fi 6) ",,
,,"Economic Impact Assessment",,AREC,530,,,3,"second term",2016-2017,,"Examination of the theory and application of economic assessment methods with a focus on the evaluation of environmental, agricultural and natural resource projects, regulatory policy, and planning. Includes case studies of recent project and policy proposals to illustrate the methods used to evaluate economic benefits and costs of such proposals. Applications to estimating private economic benefits. Prerequisite: One of the following: AREC 200, AREC 365, ECON 281, or equivalent, or consent of Instructor. Credit will only be given for one of AREC 430, 450, 530 and 550.","(fi 6) ",,
,,"Production Economics",,AREC,533,,,3,"either term",2016-2017,,"Static and dynamic firm theory, production principles applied to resource use, resource and product combination, cost structure, uncertainty and expectations. Prerequisite: consent of Instructor; (AREC 313 or AG EC 416) and ECON 481 recommended. Credit will only be given for one of AREC 533 and AG EC 533.","(fi 6) ",,
,,"Advanced Topics in Production Economics",,AREC,543,,,3,"either term",2016-2017,,"Theoretical models and empirical methods for issues and problems in production economics. Topics will vary with developments in this field but may include efficiency analysis, risk and uncertainty, simulation and mathematical programming models. Prerequisites: Consent of Instructor. AREC 533 and ECON 481 recommended.","(fi 6) ",,
,,"Economic Valuation of Ecosystem Services",,AREC,565,,,3,"either term",2016-2017,,"Economic valuation of ecosystem goods and services. Topics include: Theoretical and empirical analysis of environmental valuation methods, advanced benefit cost analysis, welfare economics, valuation of ecosystem goods and services, valuation of health impacts from environmental quality change, and linkages to experimental and behavioural economics. Prerequisite: *3 Introductory Econometrics course and consent of instructor; AREC 502 recommended. [Resource Economics and Environmental Sociology]","(fi 6) ",,
,,"Advanced Topics in Natural Resource and Environmental Economics",,AREC,569,,,3,"either term",2016-2017,,"Theoretical analysis and modeling of renewable resource and environmental issues at local and global levels. Includes analysis of international environmental issues, the effect of economic growth on the environment, sustainable development, and local and global commons management. Prerequisite: ECON 481 or consent of Department. Credit will only be given for one of AREC 569 and AG EC 569.","(fi 6) ",,
,,"Agricultural Economics Policy",,AREC,573,,,3,"either term",2016-2017,,"Goals and instruments of agricultural policy, model constructions with decision and control criteria; national, regional, and provincial agricultural application. Prerequisite: consent of Instructor; (AREC 313 or AG EC 416) and (AREC 502 or AG EC 502) recommended. Credit will only be given for one of AREC 573 and AG EC 573.","(fi 6) ",,
,,"Agriculture in Developing Countries",,AREC,575,,,3,"either term",2016-2017,,"Role of agriculture in the economic growth of developing countries; influence of international trade and commodity agreements on economic development. Prerequisite: consent of Instructor; (AREC 475 or AG EC 475) and (AREC 502 or AG EC 502) recommended. Credit will only be given for one of AREC 575 and AG EC 575.","(fi 6) ",,
,,"Industrial Organization in Food and Resource Industries",,AREC,582,,,3,"either term",2016-2017,,"Analysis of firm behavior and market structure in agri-food and resource sectors using industrial organization principles. Introduction to the internal organization of firms with applications to incentives, contracts, and corporate finance. Other topics involve ownership forms such as co-operatives; impacts of market structure on selection of firm structure; and the importance of firm objectives, performance and management incentives. Prerequisite: consent of instructor, ECON 481 recommended.","(fi 6) ",,
